209	223	16	上海仓库01	其它	采购订单	CGDD00000000345	588	澳洲西冷牛排套餐	100.0	48.0	4800.0	100.0	牛肉	精选肉类	74	供应商1	供应商	2019-12-22 19:17:50
210	224	16	上海仓库01	入库	采购	CGRK00000000346	588	澳洲西冷牛排套餐	100.0	48.0	4800.0	100.0	牛肉	精选肉类	74	供应商1	供应商	2019-12-22 19:18:26
211	225	18	北京仓库01	入库	其它	QTRK00000000347	588	澳洲西冷牛排套餐	555.0	48.0	26640.0	100.0	牛肉	精选肉类	74	供应商1	供应商	2019-12-22 19:22:13
212	226	16	上海仓库01	其它	销售订单	XSDD00000000348	588	澳洲西冷牛排套餐	999.0	72.0	71928.0	100.0	牛肉	精选肉类	75	客户1	客户	2019-12-22 19:28:20
216	227	16	上海仓库01	出库	销售	XSCK00000000350	588	澳洲西冷牛排套餐	90.0	72.0	6480.0	100.0	牛肉	精选肉类	75	客户1	客户	2019-12-22 19:29:44
218	228	16	上海仓库01	出库	其它	QTCK00000000353	588	澳洲西冷牛排套餐	2.0	72.0	144.0	100.0	牛肉	精选肉类	75	客户1	客户	2019-12-22 19:32:02
220	229	16	上海仓库01	出库	零售	LSCK00000000357	588	澳洲西冷牛排套餐	8.0	72.0	576.0	100.0	牛肉	精选肉类	76	女神	会员	2019-12-22 19:38:35
221	230	16	上海仓库01	入库	零售退货	LSTH00000000359	588	澳洲西冷牛排套餐	5.0	72.0	360.0	100.0	牛肉	精选肉类	76	女神	会员	2019-12-22 19:41:04
222	231	19	广州仓库01	其它	采购订单	CGDD00000000365	589	散养柴鸡500天走地鸡	300.0	30.0	9000.0	1000.0	老母鸡	精选肉类	77	供应商2	供应商	2019-12-22 21:42:13
222	232	16	上海仓库01	其它	采购订单	CGDD00000000365	589	散养柴鸡500天走地鸡	150.0	30.0	4500.0	1000.0	老母鸡	精选肉类	77	供应商2	供应商	2019-12-22 21:42:13
222	233	18	北京仓库01	其它	采购订单	CGDD00000000365	589	散养柴鸡500天走地鸡	3000.0	30.0	90000.0	1000.0	老母鸡	精选肉类	77	供应商2	供应商	2019-12-22 21:42:13
223	234	19	广州仓库01	入库	采购	CGRK00000000367	589	散养柴鸡500天走地鸡	300.0	30.0	9000.0	1000.0	老母鸡	精选肉类	77	供应商2	供应商	2019-12-22 21:48:20
223	235	16	上海仓库01	入库	采购	CGRK00000000367	589	散养柴鸡500天走地鸡	150.0	30.0	4500.0	1000.0	老母鸡	精选肉类	77	供应商2	供应商	2019-12-22 21:48:20
223	236	18	北京仓库01	入库	采购	CGRK00000000367	589	散养柴鸡500天走地鸡	3000.0	30.0	90000.0	1000.0	老母鸡	精选肉类	77	供应商2	供应商	2019-12-22 21:48:20
224	237	16	上海仓库01	入库	其它	QTRK00000000369	589	散养柴鸡500天走地鸡	888.0	30.0	26640.0	1000.0	老母鸡	精选肉类	77	供应商2	供应商	2019-12-22 22:01:35
